RecordId,RecordTimeSeconds,RecordTimeNanoSeconds,OrientationX,OrientationY,OrientationZ,OrientationW,AngularAccelerationX,AngularAccelerationY,AngularAccelerationZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,Roll,Pitch,Yaw,DeltaT,Velocityx,Velocityy,Velocityz
52,1515079475,426593584,0.00259317,-0.002962839,-0.145997852,-0.989277124,-0.000301872,0.016293932,0.004034414,0.100699514,-0.246136233,-9.732345581,-0.244406461,0.379262576,16.78945674,10270904,0.124202845,0.040694384,-5.197808576
53,1515079475,436816763,0.002621682,-0.003099858,-0.146086708,-0.989263475,-0.001003833,0.031752661,0.005529739,0.145518214,-0.098621249,-9.743247032,-0.245311139,0.395294679,16.79971965,10223179,0.125690503,0.039686162,-5.297415535
54,1515079475,447063273,0.002666095,-0.003272234,-0.146185547,-0.989248216,-0.003032016,0.035642058,0.007043715,0.416898817,0.047603235,-10.08765793,-0.247419191,0.415603846,16.81112924,10246510,0.129962261,0.040173929,-5.400778822
55,1515079475,457337942,0.002710891,-0.003400829,-0.146282375,-0.989233315,-0.005400852,0.023410626,0.007345901,0.444934726,-0.008300962,-10.05901337,-0.250301366,0.430956462,16.82231037,10274669,0.134533818,0.040088639,-5.504131855
56,1515079475,467588347,0.002746294,-0.003462853,-0.146372333,-0.989219725,-0.004617854,0.011653379,0.005183412,0.319803745,-0.017253853,-9.826580048,-0.253235173,0.438603964,16.83270889,10250405,0.137811936,0.03991178,-5.604858281
57,1515079475,477810017,0.002768697,-0.003473875,-0.14646709,-0.989205599,-0.003473745,0.003113423,0.006612317,0.334398776,0.106671743,-9.95000267,-0.255547773,0.440253548,16.84367476,10221670,0.14123005,0.041002144,-5.706563924
58,1515079475,488029933,0.002794978,-0.003496365,-0.146566734,-0.989190698,-0.005682144,0.006283817,0.006722699,0.245457858,0.19774437,-10.1945858,-0.258104956,0.443270093,16.85520395,10219916,0.143738609,0.043023074,-5.810751735
59,1515079475,498226774,0.00282831,-0.003556825,-0.146661654,-0.989176333,-0.004445574,0.016467666,0.006605635,0.022644699,0.230035365,-9.902973175,-0.260824831,0.450708322,16.86617796,10196841,0.143969513,0.045368708,-5.911730778
60,1515079475,508729020,0.002860979,-0.003680314,-0.1467565,-0.98916167,-0.002058578,0.027016576,0.005008685,0.131654352,-0.003697099,-9.822460175,-0.262408245,0.465280438,16.87713427,10502246,0.14535218,0.045329881,-6.014888671
61,1515079475,518952927,0.002888098,-0.003798074,-0.146859795,-0.989145875,-0.000556966,0.022296742,0.007945769,0.459394097,0.068855323,-10.05105019,-0.263452264,0.479112275,16.88907452,10223907,0.150048982,0.046033851,-6.117649673
62,1515079475,529182249,0.002911096,-0.003859339,-0.146960169,-0.989130676,-0.003291121,0.009711757,0.006584161,0.340898991,0.291976005,-10.24257278,-0.264978897,0.486470547,16.9006848,10229322,0.153536148,0.049020568,-6.222424248
63,1515079475,534295849,0.002937973,-0.003880094,-0.14705728,-0.989116073,-0.004705253,0.004736782,0.006688143,0.135011539,0.080203161,-9.878329277,-0.267627843,0.489301954,16.91191996,5113600,0.154226543,0.049430694,-6.272938073
64,1515079475,544507980,0.002951198,-0.00390445,-0.147158489,-0.989100814,-0.001669738,0.007746023,0.007899255,0.218049243,-0.096961945,-9.92902565,-0.26866618,0.492313053,16.92363497,10212131,0.15645329,0.048440506,-6.374334584
65,1515079475,554742419,0.002975486,-0.003956955,-0.147252887,-0.989086509,-0.003763131,0.012435744,0.004314623,0.269939631,0.055240735,-10.07625198,-0.270486292,0.498699553,16.93455382,10234439,0.159215971,0.049005864,-6.47745937
66,1515079475,565034779,0.003019177,-0.004042651,-0.147345975,-0.989072204,-0.00580724,0.019784927,0.005467267,0.094627097,0.024010645,-10.07477951,-0.273944768,0.509175654,16.94530723,10292360,0.160189907,0.04925299,-6.581152627
67,1515079475,575297880,0.003056697,-0.004118614,-0.147440016,-0.98905772,-0.004831588,0.016325533,0.006328773,0.071209848,0.078414075,-9.850358963,-0.276865791,0.518445281,16.95617391,10263101,0.160920741,0.050057762,-6.682247856
68,1515079475,585555084,0.003078681,-0.004150926,-0.147530004,-0.98904413,-0.003499011,0.005594169,0.004060077,0.192762941,0.216570422,-10.00912857,-0.278764179,0.522504302,16.96658544,10257204,0.16289795,0.052279169,-6.78491353
69,1515079475,595748298,0.003112986,-0.004157645,-0.147614166,-0.989031434,-0.005557663,0.002878102,0.003741913,0.123545282,0.048197716,-10.1139431,-0.282494171,0.523869783,16.97631843,10193214,0.164157273,0.052770459,-6.888007116
70,1515079475,605937441,0.00313459,-0.004193422,-0.147700697,-0.989018261,-0.002951785,0.010361766,0.004428459,-0.060070999,0.027714014,-9.917003632,-0.284291497,0.528314967,16.9863281,10189143,0.163545201,0.053052841,-6.989052885
71,1515079475,616150500,0.003165026,-0.004283036,-0.147784203,-0.989005327,-0.002291859,0.020830933,0.003963727,0.032628369,0.220055893,-10.01627922,-0.286179078,0.539010708,16.99597658,10213059,0.163878437,0.055300285,-7.091349735
72,1515079475,626356997,0.00319607,-0.004381711,-0.147871494,-0.988991737,-0.000710432,0.020489141,0.004754258,0.208691657,0.239580467,-10.07239056,-0.287978168,0.550745061,17.00606156,10206497,0.166008447,0.057745562,-7.194153559
73,1515079475,636564333,0.003214275,-0.00444668,-0.147953466,-0.988979101,-0.001234507,0.011060013,0.003757572,0.102200389,0.192732513,-10.11087322,-0.288894481,0.558440664,17.01554106,10207336,0.167051641,0.059712847,-7.297358639
74,1515079475,646847004,0.003214599,-0.004478931,-0.148043513,-0.988965511,0.002758079,0.006904879,0.004169284,-0.048470452,0.283874393,-9.939184189,-0.288333323,0.562127463,17.02597129,10282671,0.166553235,0.062631834,-7.39956
75,1515079475,657108646,0.003210464,-0.004525767,-0.148133054,-0.988951921,0.002529494,0.013371515,0.004720456,0.007636007,0.318501353,-9.953184128,-0.287018896,0.567391275,17.03634345,10261642,0.166631593,0.065900181,-7.501696013
76,1515079475,667376847,0.003210698,-0.004624246,-0.148212433,-0.988939524,0.003208075,0.022637498,0.003644356,0.105116405,0.17224434,-10.01024532,-0.285327529,0.578578618,17.04552871,10268201,0.16771095,0.067668821,-7.604483224
77,1515079475,677628569,0.003202649,-0.004747817,-0.148300573,-0.988925755,0.007226115,0.025174484,0.003781794,0.015492932,0.097252987,-9.991063118,-0.282264221,0.592471095,17.05573271,10251722,0.167869779,0.068665831,-7.706908825
78,1515079475,687890442,0.003191388,-0.00485901,-0.148389488,-0.988911927,0.006673863,0.021095961,0.005367008,0.081395119,0.201998577,-9.863492966,-0.27904433,0.604905886,17.06603096,10261873,0.168705045,0.070738715,-7.808126737
79,1515079475,698161321,0.003182193,-0.004944362,-0.148483381,-0.988897443,0.00479348,0.015122101,0.006440558,0.228851855,0.205747932,-10.0124054,-0.276492821,0.614448271,17.07690811,10270879,0.171055555,0.072851927,-7.910962942
80,1515079475,708366802,0.003162833,-0.004993705,-0.14857927,-0.98888284,0.007745715,0.009276561,0.006013255,0.139084354,0.088848203,-9.895059586,-0.273399303,0.619737067,17.08802652,10205481,0.172474978,0.073758666,-8.011946784
81,1515079475,718616355,0.003143949,-0.005062819,-0.148674428,-0.988868237,0.005883567,0.01654024,0.006035557,-0.053831883,0.085987262,-9.991640091,-0.270022292,0.62727362,17.09905889,10249553,0.171923225,0.074639997,-8.114356629
82,1515079475,728857092,0.003136545,-0.00518768,-0.148767889,-0.988853574,0.005736549,0.028536251,0.006602701,0.042227734,0.136655524,-9.767707825,-0.266995842,0.641322029,17.10988401,10240737,0.172355668,0.07603945,-8.214385156
83,1515079475,739124142,0.003141527,-0.005339419,-0.148864433,-0.988838255,0.002876869,0.030199453,0.006622367,0.208697528,0.061226062,-9.951677322,-0.264909733,0.65862759,17.12105828,10267050,0.174498376,0.076668061,-8.316559525
84,1515079475,744276233,0.003145859,-0.00546748,-0.148961455,-0.988822877,0.003991144,0.025253883,0.006976249,0.18989785,0.059080023,-9.872003555,-0.263150335,0.673238675,17.13228956,5152091,0.175476747,0.076972447,-8.367420985
85,1515079475,754511235,0.003150356,-0.005569795,-0.149058416,-0.988807738,0.001441787,0.01959873,0.006252912,0.131446928,0.128682196,-9.855061531,-0.261846561,0.684935052,17.14351812,10235002,0.176822107,0.078289509,-8.46828756
86,1515079475,764741110,0.003143359,-0.005662131,-0.149154097,-0.988792777,0.004706395,0.01937698,0.00699747,0.195317388,0.250627577,-9.832024574,-0.259409543,0.695303504,17.15460564,10229875,0.178820179,0.080853398,-8.568867942
87,1515079475,774970749,0.003136514,-0.005764152,-0.149246588,-0.988778234,0.005823239,0.020929823,0.005917157,0.205306426,0.261011869,-9.951049805,-0.256824347,0.706770765,17.16532397,10229639,0.18092039,0.083523455,-8.670663589
88,1515079475,785229336,0.003124785,-0.005885441,-0.149339214,-0.98876363,0.007085393,0.0258727,0.004859564,0.117900431,0.253621995,-9.760057449,-0.253353743,0.720337252,17.1760626,10258587,0.182129882,0.086125259,-8.770787988
89,1515079475,795477163,0.00310527,-0.006017392,-0.149430186,-0.988749146,0.008700673,0.024432464,0.005183857,0.13979432,0.16016233,-9.940294266,-0.248817011,0.734977441,17.18661488,10247827,0.18356247,0.087766575,-8.872654404
